Time [ms], Yaw [rad], Pitch [rad], Roll [rad], Yaw velocity [rad/s], Pitch velocity [rad/s], Roll velocity [rad/s]
3228.58, 0.824031, 0.0262527, 0.00305146, -1.03692, -0.0592406, -0.0553819
3248.78, 0.806254, 0.0260786, 0.00397424, -0.964892, -0.0355645, -0.00504462
3268.97, 0.794468, 0.0263264, 0.00483483, -0.766484, -0.0109006, 0.0164153
3289.2, 0.790647, 0.0275775, 0.00590078, -0.657545, 0.0276541, 0.0419785
3309.37, 0.777373, 0.0293291, 0.00543338, -0.519818, 0.0425129, 0.00168428
3329.6, 0.769741, 0.0305556, 0.0049887, -0.451805, 0.053649, -0.0115055
3349.82, 0.76186, 0.0323316, 0.00537277, -0.420306, 0.0729308, 0.00414014
3370.05, 0.750099, 0.0316006, 0.00537891, -0.499016, 0.0192068, -0.00138663
3390.28, 0.737095, 0.0319304, 0.00482205, -0.574706, 0.0162343, -0.0150417
3410.51, 0.730007, 0.0326005, 0.00438714, -0.61274, 0.0306265, -0.0231063
3430.74, 0.715246, 0.0335971, 0.00261338, -0.523965, 0.030172, -0.0484351
3450.96, 0.706631, 0.0341724, 0.00251976, -0.482281, 0.0296384, -0.0269353
3471.13, 0.697325, 0.0345488, 0.0020342, -0.472172, 0.0307644, -0.0210721
3491.27, 0.687605, 0.0344917, 0.00113725, -0.479417, 0.0106588, -0.0354447
3511.42, 0.671751, 0.0347364, -0.00307506, -0.514973, 0.0158755, -0.107786
3531.54, 0.661328, 0.0337887, -0.0045362, -0.512391, -0.0163799, -0.0895592
3551.78, 0.649127, 0.0377539, -0.000595925, -0.572723, 0.112382, 0.0520433
3571.94, 0.639837, 0.0364892, -0.00574343, -0.521376, 0.0370002, -0.0809685
3592.1, 0.634272, 0.0362061, -0.00558415, -0.531339, 0.0184881, -0.0535012
3612.23, 0.613962, 0.0360101, -0.00735266, -0.609241, 0.00497585, -0.0542141
3632.35, 0.603735, 0.0333154, -0.00712867, -0.560844, -0.0657498, -0.0248925
3652.51, 0.594207, 0.0318016, -0.00828063, -0.520577, -0.0677942, -0.0458846
3672.68, 0.57991, 0.0367889, -0.0026728, -0.596201, 0.0453155, 0.080515
3692.84, 0.574577, 0.0286587, -0.00933338, -0.418871, -0.221139, -0.150297
3713.03, 0.566204, 0.0263573, -0.0112021, -0.41817, -0.169417, -0.120797
3733.22, 0.556746, 0.0228148, -0.012742, -0.448882, -0.176405, -0.100883
3753.46, 0.542659, 0.0372331, -0.00475628, -0.558686, 0.239778, 0.111607
3773.67, 0.531441, 0.0368706, -0.00638339, -0.564502, 0.10941, 0.0171562
3793.8, 0.521813, 0.0379181, -0.00639342, -0.524061, 0.0816557, 0.00856432
3813.99, 0.517334, 0.0240304, -0.013015, -0.355062, -0.351627, -0.182696
3834.22, 0.503245, 0.0378698, -0.00623886, -0.502623, 0.109135, 0.0431429
3854.33, 0.494186, 0.0370246, -0.00652177, -0.476573, 0.0376203, 0.0178687
3874.44, 0.482665, 0.0346927, -0.00807517, -0.530931, -0.0425787, -0.0334711
3894.54, 0.472398, 0.0346786, -0.00820747, -0.527133, -0.0294079, -0.0200923
3914.64, 0.463457, 0.0361034, -0.00756928, -0.491637, 0.014112, 0.000906476
3934.78, 0.454423, 0.0358629, -0.00646624, -0.471738, -0.0044158, 0.0263564
3954.9, 0.442139, 0.0363278, -0.00757701, -0.535233, 0.0036335, -0.00855783
3975.06, 0.435491, 0.035116, -0.00176124, -0.571961, -0.0317464, 0.158727
3995.22, 0.420715, 0.035728, -0.00669568, -0.493992, 0.0145821, -0.0704749
4015.4, 0.4081, 0.0369447, -0.00728388, -0.566807, 0.039444, -0.057702
4035.59, 0.406119, 0.0173653, -0.012407, -0.319426, -0.527866, -0.181638
4055.76, 0.390379, 0.0336192, -0.00676462, -0.557563, 0.180165, 0.0710298
4075.89, 0.380792, 0.0340666, -0.00715649, -0.510482, 0.0933728, 0.0280283
4096.05, 0.375286, 0.0192593, -0.0138098, -0.386361, -0.381003, -0.185005
4116.24, 0.360102, 0.0338257, -0.00833386, -0.54577, 0.0885075, 0.0214303
4136.45, 0.351417, 0.0328681, -0.00802977, -0.491392, 0.0194589, 0.0175663
4156.61, 0.341738, 0.0338227, -0.00839511, -0.474306, 0.0213773, 0.00980045
4176.8, 0.329088, 0.0333701, -0.00958006, -0.5513, -3.4124e-05, -0.0237972
4197.03, 0.319666, 0.0329926, -0.0101093, -0.531561, -0.0171444, -0.0223001
4217.25, 0.310675, 0.0338671, -0.0101703, -0.488591, 0.0132925, -0.011362
4237.43, 0.300029, 0.0380566, -0.00942017, -0.514517, 0.1214, 0.0179576
